mass_A
t	x	y
0.0	1.0105058210420497	-0.19238890148209095
0.033333333333333486	1.0105058210420497	-0.19238890148209095
0.06666666666666651	1.0105058210420497	-0.19238890148209095
0.1	1.003181091484728	-0.18482915386410623
0.13333333333333325	0.9584101509284766	-0.19156633826977135
0.16666666666666674	0.9141092464935507	-0.16853456832482308
0.2	0.8399218786776803	-0.15247500084620294
0.23333333333333325	0.7435253041291818	-0.12862066768893507
0.2666666666666665	0.661895697725658	-0.11244359117998334
0.3	0.5357301688265452	-0.08811922190139018
0.3333333333333335	0.4468933418960308	-0.05694015918680037
0.36666666666666675	0.2833991110283205	-0.03947048334420347
0.4	0.1569985640685463	-0.030030591240917087
0.43333333333333346	0.0153610128424706	-0.0426823968399275
0.46666666666666695	-0.13336624988026458	-0.03288997764564669
0.5	-0.20767112672646615	-0.02427264875467991
0.533333333333333	-0.3268644531592506	-0.029834742857031055
0.566666666666667	-0.46070723870667885	-0.02027734172341325
0.6	-0.5426893722011967	-0.02642698097742127
0.6333333333333335	-0.631878726222705	-0.017574634025791708
0.6666666666666665	-0.676532157748625	-0.016869579843803523
0.7	-0.6988588735115848	-0.016517052752809375
0.7333333333333335	-0.7435123050375048	-0.015811998570821162
0.7666666666666665	-0.7435123050375048	-0.015811998570821162
0.8000000000000005	-0.728627827862198	-0.016047016631483918
0.8333333333333335	-0.7137433506868915	-0.016282034692146646
0.8666666666666665	-0.6615301715429871	-0.00966235931681289
0.9	-0.5871077856664539	-0.010837449620126616
0.9333333333333335	-0.5200101293472428	-0.004452792305455616
0.966666666666667	-0.40069929388412695	0.008551540384549139
1.0	-0.28150596745134226	0.01411363448690045
1.033333333333333	-0.2070835815748091	0.012938544183586836
1.0666666666666669	-0.07288826893638678	0.025707858812928835
1.1	0.04607003943573451	0.016385475739973537
1.1333333333333335	0.12805217293025262	0.02253511499398181
1.1666666666666665	0.2321260041270672	0.013447749981689239
1.2	0.3065483900036008	0.012272659678375514
1.2333333333333334	0.3958552530554402	0.01086255131439906
1.2666666666666666	0.45515814369600394	-0.004961998103558574
1.3000000000000005	0.5295805295725371	-0.006137088406872299
1.3333333333333335	0.5665567044501412	-0.02160911073383584
1.3666666666666665	0.648186310853665	-0.03778618724278762
1.4	0.648186310853665	-0.03778618724278762
1.4333333333333336	0.648186310853665	-0.03778618724278762
1.466666666666667	0.6479512927930022	-0.052670664418094065
1.5	0.6331843246480267	-0.04499340776977798
1.533333333333333	0.6032978612670821	-0.051965610236105825
1.5666666666666669	0.5589969568321567	-0.028933840291157836
1.6	0.521903272924221	-0.0209040565518476
1.6333333333333335	0.4249191532240655	-0.034260916332846475
1.666666666666667	0.37305850117115513	-0.01855387594522015
1.7	0.31352059246992825	-0.01761380370256918
1.7333333333333334	0.23921571562372712	-0.008996474811602151
1.7666666666666666	0.13525939345724325	0.007533128788343724
1.8000000000000005	0.06083700758071009	0.008708219091657449
1.8333333333333335	-0.0062606487385012954	0.002323561776986477
1.8666666666666665	-0.09568502082067232	-0.003708568446690458
1.9	-0.17022491572753706	-0.009975716731030065
1.9333333333333336	-0.23697004495575413	0.005966341717258988
1.966666666666667	-0.25197203116139155	-0.0012408788097316437
2.0	-0.3117449579232807	-0.015185283742387368
2.0333333333333337	-0.34151391227389416	-0.014715247621061883
2.066666666666667	-0.3489561508615475	-0.014597738590730519
2.1	-0.35663340750986405	-0.029364706735705542
2.1333333333333333	-0.3639581370671858	-0.021804959117721096
2.166666666666667	-0.3639581370671858	-0.021804959117721096
2.2	-0.3491911689222107	-0.029482215766036907
2.2333333333333334	-0.334306691746904	-0.029717233826699635
2.2666666666666666	-0.304537737396291	-0.030187269948025147
2.3000000000000003	-0.2672090354276926	-0.02333257651202894
2.3333333333333335	-0.19999387007815006	-0.009505680609704581
2.3666666666666667	-0.1481332180252397	-0.02521272099733088
2.4	-0.08847780029368169	-0.018710554652328487
2.4333333333333336	-0.013702887326154656	0.002441070807317841
2.4666666666666672	0.038157764726755694	-0.013265969580308457
2.5000000000000004	0.09781318245831372	-0.006763803235306093
2.5333333333333337	0.15723358212920902	-0.015146114065610394
2.5683333333333334	0.23177347703607332	-0.008878965781270787
2.6016666666666675	0.28363412908898367	-0.024586006168897084
2.6350000000000007	0.3208453220272509	-0.02517355132055396
2.6683333333333334	0.3653812445228386	-0.033320844090195506
2.7016666666666667	0.39515019887345204	-0.03379088021152096
2.7349999999999994	0.4396861213690406	-0.041938172981162286
2.7683333333333335	0.4472458689870251	-0.03461344342384057
2.8016666666666676	0.4549231256353412	-0.019846475278865267
2.8350000000000004	0.45480561660501007	-0.027288713866518627
2.8683333333333336	0.4545705985443469	-0.042173191041825014
2.9016666666666664	0.4325964098723811	-0.019493948187871174
2.9350000000000005	0.4099171670184272	-0.04146813685983683
2.9683333333333333	0.372940992140824	-0.02599611453287351
3.0016666666666665	0.3359648172632199	-0.010524092205909968
3.0350000000000006	0.2987536243249531	-0.00993654705425312
3.0683333333333334	0.25410019279903384	-0.009231492872264907
3.1016666666666675	0.20212203171579146	-9.666910722920252E-4
3.1350000000000007	0.1573510911595406	-0.007703875477957062
3.1683333333333334	0.08304621431333858	9.134534130099958E-4
3.2016666666666667	0.030950544199765062	0.0017360166253296005
3.2349999999999994	-0.0062606487385012954	0.002323561776986477
3.2683333333333344	-0.05847382788240596	-0.0042961135983473064
3.3016666666666676	-0.08836029126335054	-0.011268316064675155
3.3350000000000004	-0.1255714842016169	-0.010680770913018306
3.3683333333333336	-0.16290018617021484	-0.01753546434901479
